question,query
Kapasitesi 99354 olan stadyumların adlarını listele.,SELECT ad WHERE kapasite EQL 99354
Kapasitesi 140 olan tüm sinemaların kapasitelerini getir.,SELECT kapasite WHERE kapasite EQL 140
Soyadı Lee olan sürücülerin soyadlarını listele.,SELECT soyad WHERE soyad EQL Lee
Varışı Ankara olan uçuşların varış tarihlerini getir.,SELECT varis_tarihi WHERE varis EQL Ankara
Numarası 1 olan tüm demiryollarının kurucularını getir.,SELECT kurucu WHERE numara EQL 1
Yarışlar tablosundan adı Formula A olan yarışların adlarını getir.,SELECT ad WHERE ad EQL Formula A
Trenlerin numaralarını göster.,SELECT numara
Personellerin telefonlarını göster.,SELECT telefon
Varışı 23:39 olan tüm trenlerin adlarını getir.,SELECT ad WHERE varis EQL 23:39
Veritabanındaki konumu Kadikoy olan mağazaların açılış yıllarını yazdır.,SELECT acilis_yili WHERE konum EQL Kadikoy
Uyruğu Ingiliz olan sürücülerin adlarını bul.,SELECT ad WHERE uyruk EQL Ingiliz
Adı James olan tüm yazarların adlarını getir.,SELECT ad WHERE ad EQL James
Veritabanındaki demiryollarının sayısını yazdır.,SELECT count(numara)
Uçak tablosu içerisinde bulunan hızları ekrana getir.,SELECT hiz
Numarası 1 olan müzelerin numaralarını listele.,SELECT numara WHERE numara EQL 1
Toplam proje sayısını getir.,SELECT count(numara)
Hastalardan numarası 1 olan hastaların telefonlarını getir.,SELECT telefon WHERE numara EQL 1
Veritabanındaki uyruğu Amerika olan yüzücülerin adlarını yazdır.,SELECT ad WHERE uyruk EQL Amerika
Çalışanlar tablosunda numarası 1 olan çalışanların soyadlarını getir.,SELECT soyad WHERE numara EQL 1
Toplam uçağı 660 olan havalimanlarının iç yolcularını getir.,SELECT ic_yolcu WHERE toplam_ucak EQL 660
Kitaplar tablosundan yazarı Dan Brown olan kitapların numaralarını getir.,SELECT numara WHERE yazar EQL Dan Brown
Veritabanındaki kapasitesi 99354 olan stadyumların açılış yıllarını yazdır.,SELECT acilis_yili WHERE kapasite EQL 99354
Ürünlerden fiyatı 120 olan ürünlerin kodlarını getir.,SELECT kod WHERE fiyat EQL 120
Yılı 1926 olan arabaların modellerini getir.,SELECT model WHERE yil EQL 1926
Bütün yüzücülerin numaralarını göster.,SELECT numara
Pilotlar tablosunda adı Robert olan pilotların yaşlarını getir.,SELECT yas WHERE ad EQL Robert
Veritabanındaki adı A Giyim olan mağazaların numaralarını yazdır.,SELECT numara WHERE ad EQL A Giyim
Varış tarihi 19/05/2022 14:00 olan tüm uçuşların varış tarihlerini getir.,SELECT varis_tarihi WHERE varis_tarihi EQL 19/05/2022 14:00
Sürücüler tablosunda numarası 1 olan sürücülerin uyruklarını getir.,SELECT uyruk WHERE numara EQL 1
Insanlardan boyu 1.80 olan insanların boylarını getir.,SELECT boy WHERE boy EQL 1.80
Cihazlardan versiyonu 15 olan cihazların işletim sistemlerini göster.,SELECT isletim_sistemi WHERE versiyon EQL 15
Telefonu 1 352-295-8921 olan hastaların telefonlarını listele.,SELECT telefon WHERE telefon EQL 1 352-295-8921
Numarası 1 olan tüm havalimanlarının uluslararası yolcularını getir.,SELECT uluslararasi_yolcu WHERE numara EQL 1
Şarkılardan ülkesi Türkiye olan şarkıların numaralarını göster.,SELECT numara WHERE ulke EQL Türkiye
Veritabanındaki tüm müzelerin adlarını yazdır.,SELECT ad
Konumu Omaha - Nebraska - ABD olan demiryollarının numaralarını bul.,SELECT numara WHERE konum EQL Omaha - Nebraska - ABD
Stadyumlardan numarası 1 olan stadyumların açılış yıllarını getir.,SELECT acilis_yili WHERE numara EQL 1
Veritabanındaki adı Robert olan pilotların cinsiyetlerini yazdır.,SELECT cinsiyet WHERE ad EQL Robert
Cinsiyeti Male olan mimarların adlarını listele.,SELECT ad WHERE cinsiyet EQL Male
Konumu Beykoz/Istanbul olan köprülerin uzunluklarını getir.,SELECT uzunluk WHERE konum EQL Beykoz/Istanbul
Numarası 1 olan demiryollarının konumlarını getir.,SELECT konum WHERE numara EQL 1
Mimarlar tablosundaki en büyük numarayı listele.,SELECT max(numara)
Yazar tablosu içerisinde bulunan adları ekrana getir.,SELECT ad
Kalkışı Chennai olan trenlerin adlarını bul.,SELECT ad WHERE kalkis EQL Chennai
Yöneticilerin numaralarını getir.,SELECT numara
Çiftlikler tablosundaki en büyük inek sayısını listele.,SELECT max(inek_sayisi)
Toplam mağaza sayısını getir.,SELECT count(numara)
Toplam yolcusu 475 olan tüm uçakların toplam yolcularını getir.,SELECT toplam_yolcu WHERE toplam_yolcu EQL 475
Tüm hemşirelerin sadece numaralarını göster.,SELECT numara
Yarışlar tablosunda yılı 2005 olan yarışların adlarını getir.,SELECT ad WHERE yil EQL 2005
Veritabanındaki yaşı 34 olan pilotların cinsiyetlerini yazdır.,SELECT cinsiyet WHERE yas EQL 34
Müşteri tablosu içerisinde bulunan şehirleri ekrana getir.,SELECT sehir
Numarası 1 olan insanların doğum tarihlerini listele.,SELECT dogum_tarihi WHERE numara EQL 1
Telefonu 2122121212 olan müşterilerin telefonlarını listele.,SELECT telefon WHERE telefon EQL 2122121212
Numarası 1 olan tüm sanatçıların ülkelerini getir.,SELECT ulke WHERE numara EQL 1
Bütün havalimanlarının uluslararası yolcularını getir.,SELECT uluslararasi_yolcu
Uyruğu Ingiliz olan mimarların cinsiyetlerini bul.,SELECT cinsiyet WHERE uyruk EQL Ingiliz
Versiyonu 15 olan cihazların işletim sistemlerini listele.,SELECT isletim_sistemi WHERE versiyon EQL 15
Çalışanlar tablosunda numarası 1 olan çalışanların adlarını getir.,SELECT ad WHERE numara EQL 1
Numarası 1 olan tüm uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE numara EQL 1
Numarası 1 olan öğrencilerin soyadlarını bul.,SELECT soyad WHERE numara EQL 1
En büyük öğretmen numarasını göster.,SELECT max(numara)
Adı Anthony olan yöneticilerin ülkelerini getir.,SELECT ulke WHERE ad EQL Anthony
Bütün yayınların numaralarını getir.,SELECT numara
Müşterilerden e-postası ****@gmail.com olan müşterilerin telefonlarını göster.,SELECT telefon WHERE eposta EQL ****@gmail.com
Toplamda kaç yazar olduğunu göster.,SELECT count(numara)
Sinemalar tablosunda yeri Izmir olan sinemaların yerlerini getir.,SELECT yer WHERE yer EQL Izmir
Personellerden e-postası jtaylor@gmail.com olan personellerin telefonlarını göster.,SELECT telefon WHERE eposta EQL jtaylor@gmail.com
Numarası 1 olan demiryollarının kurucularını bul.,SELECT kurucu WHERE numara EQL 1
Numarası 1 olan tüm hastaların adlarını getir.,SELECT ad WHERE numara EQL 1
Trenler tablosunda numarası 1 olan trenlerin kalkışlarını getir.,SELECT kalkis WHERE numara EQL 1
Uçaklar tablosundan toplam yolcusu 475 olan uçakların hızlarını getir.,SELECT hiz WHERE toplam_yolcu EQL 475
Müzelerden en büyük numarayı getir.,SELECT max(numara)
Hastalar tablosundan numarası 1 olan hastaların sigortalarını getir.,SELECT sigorta WHERE numara EQL 1
Domuz sayısı 2 olan çiftliklerin keçi sayılarını bul.,SELECT keci_sayisi WHERE domuz_sayisi EQL 2
Personel tablosu içerisinde bulunan e-postaları ekrana getir.,SELECT eposta
Numarası 1 olan yüzücülerin adlarını listele.,SELECT ad WHERE numara EQL 1
Numarası 1 olan sinemaların numaralarını listele.,SELECT numara WHERE numara EQL 1
Bütün yöneticilerin adlarını getir.,SELECT ad
Kalkış tarihi 19/05/2022 13:00 olan tüm uçuşların varışlarını getir.,SELECT varis WHERE kalkis_tarihi EQL 19/05/2022 13:00
Ürünler tablosundaki en büyük fiyatı göster.,SELECT max(fiyat)
Öğrencilerin adlarını getir.,SELECT ad
Arabalardan yılı 1926 olan arabaların beygir güçlerini göster.,SELECT beygir_gucu WHERE yil EQL 1926
Numarası 1 olan çiftliklerin koyun sayılarını getir.,SELECT koyun_sayisi WHERE numara EQL 1
Numarası 1 olan mimarların uyruklarını bul.,SELECT uyruk WHERE numara EQL 1
Veritabanındaki tüm sinemaların yerlerini yazdır.,SELECT yer
Şehiri Londra olan öğretmenlerin yaşlarını bul.,SELECT yas WHERE sehir EQL Londra
Trenlerden kalkışı Chennai olan trenlerin adlarını getir.,SELECT ad WHERE kalkis EQL Chennai
En büyük pilot numarasını listele.,SELECT max(numara)
Çip modeli A15 olan telefonların numaralarını getir.,SELECT numara WHERE cip_modeli EQL A15
Numarası 1 olan tüm havalimanlarının toplam uçaklarını getir.,SELECT toplam_ucak WHERE numara EQL 1
Veritabanındaki e-postası jtaylor@gmail.com olan personellerin telefonlarını yazdır.,SELECT telefon WHERE eposta EQL jtaylor@gmail.com
Tüm personellerin sadece e-postalarını göster.,SELECT eposta
Tüm öğretmenlerin numaralarını listele.,SELECT numara
Yayınların numaralarını göster.,SELECT numara
Veritabanındaki kodu 204060 olan müşterilerin telefonlarını yazdır.,SELECT telefon WHERE kod EQL 204060
Havalimanları tablosunda adı Istanbul Sabiha Gokcen Havalimani olan havalimanlarının toplam uçaklarını getir.,SELECT toplam_ucak WHERE ad EQL Istanbul Sabiha Gokcen Havalimani
Müşterilerden numarası 1 olan müşterilerin kodlarını getir.,SELECT kod WHERE numara EQL 1
Toplam uçağı 660 olan havalimanlarının toplam uçaklarını bul.,SELECT toplam_ucak WHERE toplam_ucak EQL 660
Tüm köprülerin konumlarını getir.,SELECT konum
Numarası 1 olan müzelerin adlarını bul.,SELECT ad WHERE numara EQL 1
Şarkılardan adı Istanbul Sokaklari olan şarkıların numaralarını getir.,SELECT numara WHERE ad EQL Istanbul Sokaklari
Numarası 1 olan yöneticilerin ülkelerini bul.,SELECT ulke WHERE numara EQL 1
Pilotlar tablosundan numarası 1 olan pilotların adlarını getir.,SELECT ad WHERE numara EQL 1
Turu 4 olan yarışların turlarını getir.,SELECT tur WHERE tur EQL 4
Şarkılardan sanatçısı Muzeyyen Senar olan şarkıların çıkış tarihlerini getir.,SELECT cikis_tarihi WHERE sanatci EQL Muzeyyen Senar
Pilotlardan en büyük yaşı getir.,SELECT max(yas)
Uçuşlardan varışı Ankara olan uçuşların numaralarını göster.,SELECT numara WHERE varis EQL Ankara
Konferanslardan adı AI Conference olan konferansların adlarını göster.,SELECT ad WHERE ad EQL AI Conference
Cinsiyeti Erkek olan tüm öğrencilerin cinsiyetlerini getir.,SELECT cinsiyet WHERE cinsiyet EQL Erkek
Havalimanlarından toplam uçağı 660 olan havalimanlarının toplam uçaklarını göster.,SELECT toplam_ucak WHERE toplam_ucak EQL 660
Çalışanlardan soyadı Garcia olan çalışanların adlarını göster.,SELECT ad WHERE soyad EQL Garcia
Kaç uçak var?,SELECT count(numara)
Veritabanındaki insanlardan en büyük numarayı yazdır.,SELECT max(numara)
Trenler tablosundaki en büyük numarayı listele.,SELECT max(numara)
Trenlerden adı Andaman Exp olan trenlerin kalkışlarını getir.,SELECT kalkis WHERE ad EQL Andaman Exp
Mimarlar tablosunda cinsiyeti Male olan mimarların uyruklarını getir.,SELECT uyruk WHERE cinsiyet EQL Male
Adı MATH101 olan derslerin kredilerini getir.,SELECT kredi WHERE ad EQL MATH101
Adı Istanbul olan şehirlerin adlarını listele.,SELECT ad WHERE ad EQL Istanbul
Insanlardan boyu 1.80 olan insanların adlarını getir.,SELECT ad WHERE boy EQL 1.80
Yarışlar tablosundan turu 4 olan yarışların tarihlerini getir.,SELECT tarih WHERE tur EQL 4
Numarası 1 olan oyuncuların numaralarını getir.,SELECT numara WHERE numara EQL 1
Sinemalar tablosunda numarası 1 olan sinemaların yerlerini getir.,SELECT yer WHERE numara EQL 1
Sinemalar tablosundan kapasitesi 140 olan sinemaların yerlerini getir.,SELECT yer WHERE kapasite EQL 140
Bütün oyuncuların uyruklarını göster.,SELECT uyruk
Veritabanındaki at sayısı 2 olan çiftliklerin boğa sayılarını yazdır.,SELECT boga_sayisi WHERE at_sayisi EQL 2
Yöneticiler tablosundaki en büyük düzeyi getir.,SELECT max(duzey)
Tüm şarkıların sadece türlerini göster.,SELECT tur
Çiftlikler tablosunda numarası 1 olan çiftliklerin inek sayılarını getir.,SELECT inek_sayisi WHERE numara EQL 1
Tüm dergilerin adlarını görüntüle.,SELECT ad
Ülkesi Almanya olan arabaların beygir güçlerini getir.,SELECT beygir_gucu WHERE ulke EQL Almanya
Pozisyonu Clinical Nurse olan hemşirelerin adlarını bul.,SELECT ad WHERE pozisyon EQL Clinical Nurse
En büyük yönetici numarasını getir.,SELECT max(numara)
Telefonu 2122121212 olan müşterilerin telefonlarını getir.,SELECT telefon WHERE telefon EQL 2122121212
Tüm dergilerin sadece adlarını göster.,SELECT ad
Kapasitesi 140 olan sinemaların kapasitelerini getir.,SELECT kapasite WHERE kapasite EQL 140
Numarası 1 olan sürücülerin soyadlarını listele.,SELECT soyad WHERE numara EQL 1
Derslerden numarası 1 olan derslerin kredilerini göster.,SELECT kredi WHERE numara EQL 1
Yarışlardan adı Formula A olan yarışların adlarını göster.,SELECT ad WHERE ad EQL Formula A
Veritabanındaki domuz sayısı 2 olan çiftliklerin keçi sayılarını yazdır.,SELECT keci_sayisi WHERE domuz_sayisi EQL 2
Veritabanındaki numarası 1 olan şarkıların dillerini yazdır.,SELECT dil WHERE numara EQL 1
Toplam çiftlik sayısı nedir?,SELECT count(numara)
Mesafesi 350 olan uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE mesafe EQL 350
Veritabanındaki numarası 1 olan çiftliklerin keçi sayılarını yazdır.,SELECT keci_sayisi WHERE numara EQL 1
Kaç telefon var?,SELECT count(numara)
En büyük kitap numarasını göster.,SELECT max(numara)
Uçuşlar tablosunda varış tarihi 19/05/2022 14:00 olan uçuşların numaralarını getir.,SELECT numara WHERE varis_tarihi EQL 19/05/2022 14:00
Tüm öğrencilerin numaralarını görüntüle.,SELECT numara
Sinemalardan adı Cinemaximum olan sinemaların numaralarını göster.,SELECT numara WHERE ad EQL Cinemaximum
Sürücüler tablosundan uyruğu Ingiliz olan sürücülerin numaralarını getir.,SELECT numara WHERE uyruk EQL Ingiliz
Iç yolcusu 63648 olan havalimanlarının toplam uçaklarını listele.,SELECT toplam_ucak WHERE ic_yolcu EQL 63648
Telefonlardan ülkesi Amerika olan telefonların çip modellerini getir.,SELECT cip_modeli WHERE ulke EQL Amerika
Tüm müzelerin personel sayılarını listele.,SELECT personel_sayisi
Cihazlardan cihazı Apple olan cihazların versiyonlarını getir.,SELECT versiyon WHERE cihaz EQL Apple
Şarkılar tablosundan dili Turkce olan şarkıların adlarını getir.,SELECT ad WHERE dil EQL Turkce
Şarkılar tablosundan numarası 1 olan şarkıların adlarını getir.,SELECT ad WHERE numara EQL 1
Müşterilerin kodlarını getir.,SELECT kod
Adı Michael olan insanların doğum tarihlerini bul.,SELECT dogum_tarihi WHERE ad EQL Michael
Ülkesi America olan yöneticilerin yaşlarını listele.,SELECT yas WHERE ulke EQL America
Tüm randevuların tarihlerini listele.,SELECT tarih
Versiyonu 15 olan cihazların numaralarını getir.,SELECT numara WHERE versiyon EQL 15
Veritabanındaki insanların sayısını yazdır.,SELECT count(numara)
Havalimanları tablosundan iç yolcusu 63648 olan havalimanlarının toplam uçaklarını getir.,SELECT toplam_ucak WHERE ic_yolcu EQL 63648
Havalimanları tablosunda iç yolcusu 63648 olan havalimanlarının iç yolcularını getir.,SELECT ic_yolcu WHERE ic_yolcu EQL 63648
Personellerden telefonu 1 505-644-9320 olan personellerin e-postalarını getir.,SELECT eposta WHERE telefon EQL 1 505-644-9320
Veritabanındaki tarihi 01/04/2005 olan yarışların turlarını yazdır.,SELECT tur WHERE tarih EQL 01/04/2005
Telefonu 1 352-295-8921 olan hastaların numaralarını getir.,SELECT numara WHERE telefon EQL 1 352-295-8921
Dergilerden adı IEEE Access olan dergilerin adlarını getir.,SELECT ad WHERE ad EQL IEEE Access
Sürücülerden adı Thomas olan sürücülerin uyruklarını getir.,SELECT uyruk WHERE ad EQL Thomas
Öğrenciler tablosunda soyadı Smith olan öğrencilerin numaralarını getir.,SELECT numara WHERE soyad EQL Smith
Tüm müzelerin numaralarını getir.,SELECT numara
Tarihi 01/04/2005 olan yarışların turlarını listele.,SELECT tur WHERE tarih EQL 01/04/2005
Cinsiyeti Male olan tüm mimarların numaralarını getir.,SELECT numara WHERE cinsiyet EQL Male
Öğretmenler tablosundan şehiri Londra olan öğretmenlerin numaralarını getir.,SELECT numara WHERE sehir EQL Londra
Bütün şarkıların numaralarını göster.,SELECT numara
Çiftlikler tablosunda domuz sayısı 2 olan çiftliklerin numaralarını getir.,SELECT numara WHERE domuz_sayisi EQL 2
Havalimanlarından toplam uçağı 660 olan havalimanlarının iç yolcularını göster.,SELECT ic_yolcu WHERE toplam_ucak EQL 660
Adı Istanbul Sabiha Gokcen Havalimani olan tüm havalimanlarının numaralarını getir.,SELECT numara WHERE ad EQL Istanbul Sabiha Gokcen Havalimani
Bütün öğretmenlerin numaralarını göster.,SELECT numara
Veritabanındaki departmanlardan en büyük numarayı yazdır.,SELECT max(numara)
Yarışlardan tarihi 01/04/2005 olan yarışların tarihlerini getir.,SELECT tarih WHERE tarih EQL 01/04/2005
En büyük randevu numarasını göster.,SELECT max(numara)
Tüm uçakları say.,SELECT count(numara)
Konumu Beykoz/Istanbul olan köprülerin konumlarını listele.,SELECT konum WHERE konum EQL Beykoz/Istanbul
